"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Shijiazhuang","Shijiazhuang","38.04139","114.47861","China","CN","","Hebei","","3938513","83"
"Chattogram","Chattogram","22.3384","91.83168","Bangladesh","BD","","Chittagong","","3920222","84"
"Addis Ababa","Addis Ababa","9.02497","38.74689","Ethiopia","ET","","Addis Ababa","","3860000","85"
"Kunming","Kunming","25.03889","102.71833","China","CN","","Yunnan","","3855346","86"
"Zhongshan","Zhongshan","22.52306","113.37912","China","CN","","Guangdong","","3841873","87"
"Nanning","Nanning","22.81667","108.31667","China","CN","","Guangxi","","3839800","88"
"Shantou","Shantou","23.35489","116.67876","China","CN","","Guangdong","","3838900","89"
"Los Angeles","Los Angeles","34.05223","-118.24368","United States","US","","California","","3820914","90"
"Faisalabad","Faisalabad","31.41554","73.08969","Pakistan","PK","","Punjab","","3800193","91"
"Dubai","Dubai","25.07725","55.30927","United Arab Emirates","AE","","Dubai","","3790000","92"
"Yokohama","Yokohama","35.43333","139.65","Japan","JP","","Kanagawa","","3777491","93"
"Fuzhou","Fuzhou","26.06139","119.30611","China","CN","","Fujian","","3740000","94"
"Ningbo","Ningbo","29.87819","121.54945","China","CN","","Zhejiang","","3731203","95"
"Casablanca","Casablanca","33.58831","-7.61138","Morocco","MA","","Casablanca-Settat","","3665954","96"
"Ibadan","Ibadan","7.37756","3.90591","Nigeria","NG","","Oyo State","","3649000","97"
"Puyang","Puyang","29.45679","119.88872","China","CN","","Zhejiang","","3590000","98"
"Ankara","Ankara","39.91987","32.85427","Turkey","TR","","Ankara","","3517182","99"
"Shiyan","Shiyan","32.6475","110.77806","China","CN","","Hubei","","3460000","100"
"Berlin","Berlin","52.52437","13.41053","Germany","DE","","State of Berlin","","3426354","101"
"Tangshan","Tangshan","39.64381","118.18319","China","CN","","Hebei","","3372102","102"
"Rawalpindi","Rawalpindi","33.59733","73.0479","Pakistan","PK","","Punjab","","3357612","103"
"Lüliang","Lueliang","37.5192","111.14436","China","CN","","Shanxi","","3346500","104"
"Durban","Durban","-29.8579","31.0292","South Africa","ZA","","KwaZulu-Natal","","3338026","105"
"Changzhou","Changzhou","31.77359","119.95401","China","CN","","Jiangsu","","3290918","106"
"Busan","Busan","35.10168","129.03004","South Korea","KR","","Busan","","3285147","107"
"Madrid","Madrid","40.4165","-3.70256","Spain","ES","","Madrid","","3255944","108"
"Pyongyang","Pyongyang","39.03385","125.75432","North Korea","KP","","Pyongyang","","3222000","109"
"Zibo","Zibo","36.79056","118.06333","China","CN","","Shandong","","3129228","110"
"Pune","Pune","18.51957","73.85535","India","IN","","Maharashtra","","3124458","111"
"Bursa","Bursa","40.19559","29.06013","Turkey","TR","","Bursa Province","","3101833","112"
"Changsha","Changsha","28.19874","112.97087","China","CN","","Hunan","","3093980","113"
"Quezon City","Quezon City","14.6488","121.0509","Philippines","PH","","National Capital Region","","3084270","114"
"Jaipur","Jaipur","26.91962","75.78781","India","IN","","Rajasthan","","3046163","115"
"Guiyang","Guiyang","26.58333","106.71667","China","CN","","Guizhou","","3037159","116"
"Ürümqi","UEruemqi","43.80096","87.60046","China","CN","","Xinjiang","","3029372","117"
"Incheon","Incheon","37.45646","126.70515","South Korea","KR","","Incheon","","3015482","118"
"Lanzhou","Lanzhou","36.05701","103.83987","China","CN","","Gansu","","3000000","119"
"Caracas","Caracas","10.48801","-66.87919","Venezuela","VE","","Distrito Federal","","3000000","120"
"Kyiv","Kyiv","50.45466","30.5238","Ukraine","UA","","Kyiv City","","2952301","121"
"İzmir","Izmir","38.41273","27.13838","Turkey","TR","","İzmir Province","","2938292","122"
"Huizhou","Huizhou","23.11147","114.41523","China","CN","","Guangdong","","2900113","123"
"Buenos Aires","Buenos Aires","-34.61315","-58.37723","Argentina","AR","","Buenos Aires F.D.","","2891082","124"
"Surabaya","Surabaya","-7.24917","112.75083","Indonesia","ID","","East Java","","2874314","125"
"Haikou","Haikou","20.03421","110.34651","China","CN","","Hainan","","2873358","126"
"Taichung","Taichung","24.1469","120.6839","Taiwan","TW","","Taiwan","","2850285","127"
"Kanpur","Kanpur","26.46523","80.34975","India","IN","","Uttar Pradesh","","2823249","128"
"Toronto","Toronto","43.70643","-79.39864","Canada","CA","","Ontario","","2794356","129"
"Quito","Quito","-0.22985","-78.52495","Ecuador","EC","","Pichincha","","2781641","130"
"Brisbane","Brisbane","-27.46794","153.02809","Australia","AU","","Queensland","","2780063","131"
"Luanda","Luanda","-8.83682","13.23432","Angola","AO","","Luanda","","2776168","132"
"Osaka","Osaka","34.69379","135.50107","Japan","JP","","Osaka","","2753862","133"
"Linyi","Linyi","35.06306","118.34278","China","CN","","Shandong","","2743843","134"
"Baoding","Baoding","38.87288","115.46246","China","CN","","Hebei","","2739887","135"
"Kaohsiung","Kaohsiung","22.61626","120.31333","Taiwan","TW","","Takao","","2737660","136"
"Brooklyn","Brooklyn","40.6501","-73.94958","United States","US","","New York","","2736074","137"
"Guayaquil","Guayaquil","-2.19616","-79.88621","Ecuador","EC","","Guayas","","2723665","138"
"Belo Horizonte","Belo Horizonte","-19.92083","-43.93778","Brazil","BR","","Minas Gerais","","2721564","139"
"Minhang","Minhang","31.10881","121.37471","China","CN","","Shanghai","","2716600","140"
"Bazhong","Bazhong","31.8694","106.74432","China","CN","","Sichuan","","2712894","141"
"Salvador","Salvador","-12.97563","-38.49096","Brazil","BR","","Bahia","","2711840","142"
"Abuja","Abuja","9.05785","7.49508","Nigeria","NG","","FCT","","2690000","143"
"Gazipur","Gazipur","23.99844","90.42234","Bangladesh","BD","","Dhaka Division","","2674697","144"
"Chicago","Chicago","41.85003","-87.65005","United States","US","","Illinois","","2664452","145"
"Wenzhou","Wenzhou","27.99942","120.66682","China","CN","","Zhejiang","","2650000","146"
"Dakar","Dakar","14.6937","-17.44406","Senegal","SN","","Dakar","","2646503","147"
"Haiphong","Haiphong","20.86481","106.68345","Vietnam","VN","","Hai Phong","","2625200","148"
"Yunfu","Yunfu","22.92787","112.03809","China","CN","","Guangdong","","2612800","149"
"Navi Mumbai","Navi Mumbai","19.03681","73.01582","India","IN","","Maharashtra","","2600000","150"
"Mogadishu","Mogadishu","2.03711","45.34375","Somalia","SO","","Banaadir","","2587183","151"
"Bekasi","Bekasi","-6.2349","106.9896","Indonesia","ID","","West Java","","2564940","152"
"Kumasi","Kumasi","6.68848","-1.62443","Ghana","GH","","Ashanti","","2544530","153"
"Gujranwala","Gujranwala","32.15567","74.18705","Pakistan","PK","","Punjab","","2511118","154"
"Huai'an","Huai'an","33.58861","119.01917","China","CN","","Jiangsu","","2494013","155"
"Lucknow","Lucknow","26.83928","80.92313","India","IN","","Uttar Pradesh","","2472011","156"
"Bandung","Bandung","-6.92222","107.60694","Indonesia","ID","","West Java","","2444160","157"
"Medan","Medan","3.58333","98.66667","Indonesia","ID","","North Sumatra","","2435252","158"
"Ouagadougou","Ouagadougou","12.36566","-1.53388","Burkina Faso","BF","","Centre","","2415266","159"
"Nagpur","Nagpur","21.14631","79.08491","India","IN","","Maharashtra","","2405665","160"
"Fortaleza","Fortaleza","-3.71722","-38.54306","Brazil","BR","","Ceará","","2400000","161"
"Cali","Cali","3.43054","-76.5199","Colombia","CO","","Valle del Cauca Department","","2392877","162"
"Daegu","Daegu","35.87028","128.59111","South Korea","KR","","Daegu","","2365523","163"
"Algiers","Algiers","36.73225","3.08746","Algeria","DZ","","Algiers","","2364230","164"
"Nanchang","Nanchang","28.68396","115.85306","China","CN","","Jiangxi","","2357839","165"
"Baku","Baku","40.37767","49.89201","Azerbaijan","AZ","","Baki","","2351300","166"
"Hohhot","Hohhot","40.81056","111.65222","China","CN","","Inner Mongolia","","2350000","167"
"Nagoya","Nagoya","35.18147","136.90641","Japan","JP","","Aichi","","2332176","168"
"Rome","Rome","41.89193","12.51133","Italy","IT","","Lazio","","2318895","169"
"Queens","Queens","40.68149","-73.83652","United States","US","","New York","","2316841","170"
"Houston","Houston","29.76328","-95.36327","United States","US","","Texas","","2314157","171"
"Perth","Perth","-31.95224","115.8614","Australia","AU","","Western Australia","","2309338","172"
"Mashhad","Mashhad","36.29807","59.60567","Iran","IR","","Razavi Khorasan","","2307177","173"
"Shaoxing","Shaoxing","30.00237","120.57864","China","CN","","Zhejiang","","2300000","174"
"Nantong","Nantong","32.03028","120.87472","China","CN","","Jiangsu","","2273326","175"
"Baoshan","Baoshan","31.40845","121.48956","China","CN","","Shanghai","","2265900","176"
"Kowloon","Kowloon","22.31667","114.18333","Hong Kong","HK","","00","","2232339","177"
"Yantai","Yantai","37.47649","121.44081","China","CN","","Shandong","","2227733","178"
"Gaziantep","Gaziantep","37.05944","37.3825","Turkey","TR","","Gaziantep","","2222415","179"
"Lubumbashi","Lubumbashi","-11.66089","27.47938","Democratic Republic of the Congo","CD","","Haut-Katanga","","2221925","180"
"Manaus","Manaus","-3.10194","-60.025","Brazil","BR","","Amazonas","","2219580","181"
"Lusaka","Lusaka","-15.40669","28.28713","Zambia","ZM","","Lusaka Province","","2212301","182"
"Brasília","Brasilia","-15.77972","-47.92972","Brazil","BR","","Federal District","","2207718","183"
"Zhuhai","Zhuhai","22.27694","113.56778","China","CN","","Guangdong","","2207090","184"
"Santo Domingo","Santo Domingo","18.47186","-69.89232","Dominican Republic","DO","","Nacional","","2201941","185"
"Lomé","Lome","6.12874","1.22154","Togo","TG","","Maritime","","2188376","186"
"Multan","Multan","30.19679","71.47824","Pakistan","PK","","Punjab","","2169915","187"
"Havana","Havana","23.13302","-82.38304","Cuba","CU","","Havana","","2163824","188"
"Baotou","Baotou","40.6516","109.84389","China","CN","","Inner Mongolia","","2150000","189"
"Depok","Depok","-6.4","106.81861","Indonesia","ID","","West Java","","2145400","190"
"Paris","Paris","48.85341","2.3488","France","FR","","Île-de-France","","2138551","191"
"Coimbatore","Coimbatore","11.00555","76.96612","India","IN","","Tamil Nadu","","2136916","192"
"Qingyang","Qingyang","35.70976","107.64455","China","CN","","Gansu","","2125400","193"
"Port Harcourt","Port Harcourt","4.77742","7.0134","Nigeria","NG","","Rivers State","","2120000","194"
"Pretoria","Pretoria","-25.74486","28.18783","South Africa","ZA","","Gauteng","","2112693","195"
"Córdoba","Cordoba","-31.40648","-64.18853","Argentina","AR","","Cordoba","","2106734","196"
"Mbuji-Mayi","Mbuji-Mayi","-6.13603","23.58979","Democratic Republic of the Congo","CD","","East Kasai","","2101332","197"
"Aleppo","Aleppo","36.20124","37.16117","Syria","SY","","Aleppo","","2098210","198"
"Kunshan","Kunshan","31.37762","120.95431","China","CN","","Jiangsu","","2092496","199"
"Al Mawşil al Jadīdah","Al Mawsil al Jadidah","36.33271","43.10555","Iraq","IQ","","Nineveh","","2065597","200"
"Weifang","Weifang","36.71","119.10194","China","CN","","Shandong","","2044028","201"
"Zunyi","Zunyi","27.68667","106.90722","China","CN","","Guizhou","","2037775","202"
"Al Başrah al Qadīmah","Al Basrah al Qadimah","30.50316","47.81507","Iraq","IQ","","Basra","","2015483","203"
"La Paz","La Paz","-16.5","-68.15","Bolivia","BO","","La Paz Department","","2004652","204"
"Lianyungang","Lianyungang","34.59845","119.21556","China","CN","","Jiangsu","","2001009","205"
"Medellín","Medellin","6.245","-75.57151","Colombia","CO","","Antioquia","","1999979","206"
"Indore","Indore","22.71792","75.8333","India","IN","","Madhya Pradesh","","1994397","207"
"Brazzaville","Brazzaville","-4.26613","15.28318","Republic of the Congo","CG","","Brazzaville","","1982000","208"
"Tashkent","Tashkent","41.26465","69.21627","Uzbekistan","UZ","","Tashkent","","1978028","209"
"Ganzhou","Ganzhou","25.84664","114.9326","China","CN","","Jiangxi","","1977253","210"
"Almaty","Almaty","43.25249","76.9115","Kazakhstan","KZ","","Almaty","","1977011","211"
"Khartoum","Khartoum","15.55177","32.53241","Sudan","SD","","Khartoum","","1974647","212"
"Hamburg","Hamburg","53.55073","9.99302","Germany","DE","","Hamburg","","1973896","213"
"Sapporo","Sapporo","43.06667","141.35","Japan","JP","","Hokkaido","","1973832","214"
"Songjiang","Songjiang","31.03443","121.22326","China","CN","","Shanghai","","1973500","215"
"Accra","Accra","5.55602","-0.1969","Ghana","GH","","Greater Accra","","1963264","216"
"Curitiba","Curitiba","-25.42778","-49.27306","Brazil","BR","","Paraná","","1948626","217"
"Ordos","Ordos","39.6086","109.78157","China","CN","","Inner Mongolia","","1940653","218"
"Sanaa","Sanaa","15.35452","44.20646","Yemen","YE","","Amanat Alasimah","","1937451","219"
"Conakry","Conakry","9.53795","-13.67729","Guinea","GN","","Conakry","","1928389","220"
"Tijuana","Tijuana","32.5027","-117.00371","Mexico","MX","","Baja California","","1922523","221"
"Hyderabad","Hyderabad","25.39689","68.37718","Pakistan","PK","","Sindh","","1921275","222"
"Beirut","Beirut","33.89332","35.50157","Lebanon","LB","","Beirut","","1916100","223"
"Tangerang","Tangerang","-6.17806","106.63","Indonesia","ID","","Banten","","1912679","224"
"Jieyang","Jieyang","23.5418","116.36581","China","CN","","Guangdong","","1899394","225"
"Jilin","Jilin","43.84652","126.5608","China","CN","","Jilin","","1895865","226"
"Jiading","Jiading","31.38575","121.24465","China","CN","","Shanghai","","1886100","227"
"Bucharest","Bucharest","44.43225","26.10626","Romania","RO","","Bucharest","","1877155","228"
"Camayenne","Camayenne","9.535","-13.68778","Guinea","GN","","Conakry","","1871242","229"
"Kakamega","Kakamega","0.28422","34.75229","Kenya","KE","","Kakamega County","","1867579","230"
"Shangqiu","Shangqiu","34.4143","115.65613","China","CN","","Henan","","1859723","231"
"Nanchong","Nanchong","30.79508","106.08473","China","CN","","Sichuan","","1858875","232"
"Tainan","Tainan","22.99083","120.21333","Taiwan","TW","","Taiwan","","1856642","233"
"Datong","Datong","40.09361","113.29139","China","CN","","Shanxi","","1850000","234"
"Kaduna","Kaduna","10.52641","7.43879","Nigeria","NG","","Kaduna State","","1850000","235"
"Omdurman","Omdurman","15.64453","32.47773","Sudan","SD","","Khartoum","","1849659","236"
"Davao","Davao","7.07306","125.61278","Philippines","PH","","Davao Region","","1848947","237"
"Thāne","Thane","19.19704","72.96355","India","IN","","Maharashtra","","1841488","238"
"Iztapalapa","Iztapalapa","19.35529","-99.06224","Mexico","MX","","Mexico City","","1835486","239"
"Diyarbakır","Diyarbakir","37.91363","40.21721","Turkey","TR","","Diyarbakır Province","","1833684","240"
"Santa Cruz de la Sierra","Santa Cruz de la Sierra","-17.78629","-63.18117","Bolivia","BO","","Santa Cruz Department","","1831434","241"
"Vadodara","Vadodara","22.29941","73.20812","India","IN","","Gujarat","","1822221","242"
"Adana","Adana","36.98615","35.32531","Turkey","TR","","Adana","","1816750","243"
"Nanyang","Nanyang","33.00524","112.54659","China","CN","","Henan","","1811812","244"
"Abu Dhabi","Abu Dhabi","24.45118","54.39696","United Arab Emirates","AE","","Abu Dhabi","","1807000","245"
"Sharjah","Sharjah","25.3342","55.41221","United Arab Emirates","AE","","Sharjah","","1800000","246"
"Bhopal","Bhopal","23.25469","77.40289","India","IN","","Madhya Pradesh","","1798218","247"
"Jiangmen","Jiangmen","22.58333","113.08333","China","CN","","Guangdong","","1795459","248"
"Benin City","Benin City","6.33815","5.62575","Nigeria","NG","","Edo State","","1782000","249"
"Jiangyin","Jiangyin","31.91102","120.26302","China","CN","","Jiangsu","","1779515","250"
"Fuyang","Fuyang","32.9","115.81667","China","CN","","Anhui","","1768947","251"
"Montréal","Montreal","45.50884","-73.58781","Canada","CA","","Quebec","","1762949","252"
"Bayan Nur","Bayan Nur","40.74143","107.38599","China","CN","","Inner Mongolia","","1760000","253"
"Maracaibo","Maracaibo","10.64232","-71.61089","Venezuela","VE","","Zulia","","1752602","254"
"Chaozhou","Chaozhou","23.65396","116.62262","China","CN","","Guangdong","","1750945","255"
"Minsk","Minsk","53.90019","27.56653","Belarus","BY","","Minsk City","","1742124","256"
"Budapest","Budapest","47.49835","19.04045","Hungary","HU","","Budapest","","1741041","257"
"Qingyuan","Qingyuan","23.7","113.03333","China","CN","","Guangdong","","1738424","258"
"Tai’an","Tai'an","36.18528","117.12","China","CN","","Shandong","","1735425","259"
"Rasapūdipalem","Rasapudipalem","17.73308","83.31622","India","IN","","Andhra Pradesh","","1728128","260"
"Pimpri-Chinchwad","Pimpri-Chinchwad","18.61867","73.80375","India","IN","","Maharashtra","","1727692","261"
"Caloocan","Caloocan","14.64953","120.96788","Philippines","PH","","National Capital Region","","1712945","262"
"Warsaw","Warsaw","52.22977","21.01178","Poland","PL","","Mazovia","","1702139","263"
"Soweto","Soweto","-26.26781","27.85849","South Africa","ZA","","Gauteng","","1695047","264"
"Puebla","Puebla","19.04778","-98.20723","Mexico","MX","","Puebla","","1692181","265"
"Vienna","Vienna","48.20849","16.37208","Austria","AT","","State of Vienna","","1691468","266"
"Barcelona","Barcelona","41.38879","2.15899","Spain","ES","","Catalonia","","1686208","267"
"Patna","Patna","25.59408","85.13563","India","IN","","Bihar","","1684297","268"
"Mosul","Mosul","36.335","43.11889","Iraq","IQ","","Nineveh","","1683000","269"
"Kallakurichi","Kallakurichi","11.73379","78.95925","India","IN","","Tamil Nadu","","1682687","270"
"Kampala","Kampala","0.31628","32.58219","Uganda","UG","","Central Region","","1680600","271"
"Xining","Xining","36.62554","101.75739","China","CN","","Qinghai","","1677177","272"
"Changshu","Changshu","31.64615","120.74221","China","CN","","Jiangsu","","1677050","273"
"Palembang","Palembang","-2.91673","104.7458","Indonesia","ID","","South Sumatra","","1668848","274"
"Huainan","Huainan","32.62639","116.99694","China","CN","","Anhui","","1666826","275"
"Rabat","Rabat","34.01325","-6.83255","Morocco","MA","","Rabat-Salé-Kénitra","","1655753","276"
"Semarang","Semarang","-6.99306","110.42083","Indonesia","ID","","Central Java","","1653524","277"
"Recife","Recife","-8.05389","-34.88111","Brazil","BR","","Pernambuco","","1653461","278"
"Phoenix","Phoenix","33.44838","-112.07404","United States","US","","Arizona","","1650070","279"
"Suzhou","Suzhou","33.63611","116.97889","China","CN","","Anhui","","1647642","280"
"Ecatepec de Morelos","Ecatepec de Morelos","19.60492","-99.06064","Mexico","MX","","México","","1645352","281"
"Lu’an","Lu'an","31.73561","116.51688","China","CN","","Anhui","","1644344","282"
"Valencia","Valencia","10.16153","-68.00044","Venezuela","VE","","Carabobo","","1619470","283"
"Ludhiana","Ludhiana","30.91204","75.85379","India","IN","","Punjab","","1618879","284"
"Yancheng","Yancheng","33.3575","120.1573","China","CN","","Jiangsu","","1615717","285"
"Novosibirsk","Novosibirsk","55.02259","82.93175","Russia","RU","","Novosibirsk Oblast","","1612833","286"
"Erbil","Erbil","36.19117","44.00943","Iraq","IQ","","Erbil","","1612700","287"
"Fukuoka","Fukuoka","33.6","130.41667","Japan","JP","","Fukuoka","","1612392","288"
"Taizhou","Taizhou","32.49069","119.90812","China","CN","","Jiangsu","","1607108","289"
"Daqing","Daqing","46.58333","125","China","CN","","Heilongjiang","","1604027","290"
"Manila","Manila","14.6042","120.9822","Philippines","PH","","National Capital Region","","1600000","291"
"Wuhu","Wuhu","31.35259","118.42947","China","CN","","Anhui","","1598165","292"
"Santiago de Querétaro","Santiago de Queretaro","20.58806","-100.38806","Mexico","MX","","Querétaro","","1594212","293"
"Dazhou","Dazhou","31.2106","107.46308","China","CN","","Sichuan","","1589435","294"
"Yangzhou","Yangzhou","32.39722","119.43583","China","CN","","Jiangsu","","1584237","295"
"León de los Aldama","Leon de los Aldama","21.12183","-101.68253","Mexico","MX","","Guanajuato","","1579803","296"
"Makkah","Makkah","21.42664","39.82563","Saudi Arabia","SA","","Mecca Region","","1578722","297"
"Philadelphia","Philadelphia","39.95238","-75.16362","United States","US","","Pennsylvania","","1573916","298"
"Phnom Penh","Phnom Penh","11.56245","104.91601","Cambodia","KH","","Phnom Penh","","1573544","299"
"Guilin","Guilin","25.28022","110.29639","China","CN","","Guangxi","","1572300","300"
"Damascus","Damascus","33.5102","36.29128","Syria","SY","","Damascus Governorate","","1569394","301"
"Quetta","Quetta","30.18414","67.00141","Pakistan","PK","","Balochistan","","1565546","302"
"Zhaoqing","Zhaoqing","23.04893","112.46091","China","CN","","Guangdong","","1553109","303"
"Onitsha","Onitsha","6.14978","6.78569","Nigeria","NG","","Anambra","","1553000","304"
"Mianyang","Mianyang","31.46784","104.68168","China","CN","","Sichuan","","1550000","305"
